Datetime,Open,High,Low,Close,Adj Close,Volume
2023-05-29 09:15:00+05:30,1331.45,1331.45,1327.0,1329.0,1329.0,0.0
2023-05-29 09:16:00+05:30,1329.5,1331.65,1328.25,1329.1,1329.1,62935.0
2023-05-29 09:17:00+05:30,1328.6,1328.9,1327.25,1327.35,1327.35,36751.0
2023-05-29 09:18:00+05:30,1327.25,1328.5,1327.0,1327.9,1327.9,25573.0
2023-05-29 09:19:00+05:30,1327.9,1328.3,1326.2,1326.45,1326.45,22666.0
2023-05-29 09:20:00+05:30,1326.75,1327.25,1326.1,1326.65,1326.65,57120.0
2023-05-29 09:21:00+05:30,1326.95,1327.0,1325.1,1325.25,1325.25,32057.0
2023-05-29 09:22:00+05:30,1325.15,1325.7,1324.1,1324.3,1324.3,31553.0
2023-05-29 09:23:00+05:30,1324.3,1324.4,1322.9,1323.45,1323.45,20346.0
2023-05-29 09:24:00+05:30,1323.95,1324.95,1323.4,1324.75,1324.75,29325.0
2023-05-29 09:25:00+05:30,1324.75,1326.5,1324.1,1326.5,1326.5,16853.0
2023-05-29 09:26:00+05:30,1326.0,1326.45,1324.65,1324.65,1324.65,22441.0
2023-05-29 09:27:00+05:30,1325.0,1325.3,1323.45,1324.05,1324.05,25563.0
2023-05-29 09:28:00+05:30,1323.3,1324.7,1323.0,1324.3,1324.3,17647.0
2023-05-29 09:29:00+05:30,1323.8,1324.45,1323.05,1323.5,1323.5,31172.0
2023-05-29 09:30:00+05:30,1323.05,1323.3,1322.0,1322.05,1322.05,27373.0
2023-05-29 09:31:00+05:30,1322.0,1323.25,1322.0,1322.0,1322.0,28035.0
2023-05-29 09:32:00+05:30,1322.0,1322.65,1321.0,1321.55,1321.55,32814.0
2023-05-29 09:33:00+05:30,1321.15,1321.55,1319.3,1319.6,1319.6,46554.0
2023-05-29 09:34:00+05:30,1320.0,1320.35,1319.2,1319.7,1319.7,21391.0
2023-05-29 09:35:00+05:30,1319.95,1321.95,1319.45,1321.15,1321.15,24908.0
2023-05-29 09:36:00+05:30,1321.25,1321.55,1319.05,1319.95,1319.95,23275.0
2023-05-29 09:37:00+05:30,1319.35,1321.6,1319.35,1321.55,1321.55,13532.0
2023-05-29 09:38:00+05:30,1321.1,1321.7,1320.6,1321.45,1321.45,18771.0
2023-05-29 09:39:00+05:30,1321.5,1321.5,1320.25,1320.45,1320.45,26868.0
2023-05-29 09:40:00+05:30,1320.25,1321.5,1320.05,1321.1,1321.1,14294.0
2023-05-29 09:41:00+05:30,1321.5,1321.5,1320.3,1321.3,1321.3,11123.0
2023-05-29 09:42:00+05:30,1321.0,1321.45,1320.25,1321.45,1321.45,14532.0
2023-05-29 09:43:00+05:30,1321.2,1321.7,1320.45,1320.95,1320.95,14723.0
2023-05-29 09:44:00+05:30,1321.0,1321.0,1320.5,1320.75,1320.75,11138.0
2023-05-29 09:45:00+05:30,1321.0,1321.15,1320.25,1320.7,1320.7,30094.0
2023-05-29 09:46:00+05:30,1320.6,1320.8,1320.1,1320.2,1320.2,10336.0
2023-05-29 09:47:00+05:30,1320.2,1321.25,1320.1,1320.55,1320.55,8266.0
2023-05-29 09:48:00+05:30,1320.95,1320.95,1320.15,1320.25,1320.25,12911.0
2023-05-29 09:49:00+05:30,1320.2,1320.5,1320.05,1320.05,1320.05,20588.0
2023-05-29 09:50:00+05:30,1320.1,1320.1,1319.0,1319.45,1319.45,44333.0
2023-05-29 09:51:00+05:30,1319.3,1319.4,1318.15,1318.3,1318.3,17815.0
2023-05-29 09:52:00+05:30,1318.25,1318.3,1317.4,1317.4,1317.4,24049.0
2023-05-29 09:53:00+05:30,1317.4,1319.5,1317.2,1319.5,1319.5,15016.0
2023-05-29 09:54:00+05:30,1319.0,1320.4,1318.8,1319.55,1319.55,12140.0
2023-05-29 09:55:00+05:30,1319.55,1320.25,1319.55,1319.55,1319.55,5048.0
2023-05-29 09:56:00+05:30,1319.65,1320.15,1319.65,1319.75,1319.75,9572.0
2023-05-29 09:57:00+05:30,1320.0,1320.0,1319.0,1319.3,1319.3,9771.0
2023-05-29 09:58:00+05:30,1319.05,1319.3,1318.25,1318.25,1318.25,9246.0
2023-05-29 09:59:00+05:30,1318.25,1318.8,1318.05,1318.4,1318.4,7451.0
2023-05-29 10:00:00+05:30,1318.8,1319.0,1318.15,1318.5,1318.5,3841.0
2023-05-29 10:01:00+05:30,1318.5,1319.0,1318.1,1318.1,1318.1,6899.0
2023-05-29 10:02:00+05:30,1317.6,1317.7,1317.0,1317.7,1317.7,26297.0
2023-05-29 10:03:00+05:30,1317.3,1317.6,1316.75,1317.1,1317.1,13626.0
2023-05-29 10:04:00+05:30,1316.75,1317.0,1316.05,1316.5,1316.5,14678.0
2023-05-29 10:05:00+05:30,1316.5,1316.95,1316.0,1316.2,1316.2,10873.0
2023-05-29 10:06:00+05:30,1316.2,1317.7,1316.2,1316.95,1316.95,10978.0
2023-05-29 10:07:00+05:30,1316.55,1317.2,1316.15,1316.3,1316.3,5683.0
2023-05-29 10:08:00+05:30,1316.3,1317.2,1316.3,1317.05,1317.05,3656.0
2023-05-29 10:09:00+05:30,1317.05,1317.95,1317.0,1317.95,1317.95,7405.0
2023-05-29 10:10:00+05:30,1317.8,1318.15,1317.2,1317.65,1317.65,10480.0
2023-05-29 10:11:00+05:30,1317.65,1317.95,1317.5,1317.95,1317.95,3662.0
2023-05-29 10:12:00+05:30,1317.95,1318.8,1317.5,1318.75,1318.75,7469.0
2023-05-29 10:13:00+05:30,1318.4,1319.0,1318.4,1318.6,1318.6,6871.0
2023-05-29 10:14:00+05:30,1318.5,1318.65,1317.05,1317.4,1317.4,15705.0
2023-05-29 10:15:00+05:30,1317.4,1318.15,1317.4,1318.15,1318.15,7208.0
2023-05-29 10:16:00+05:30,1318.2,1318.7,1315.1,1315.45,1315.45,52906.0
2023-05-29 10:17:00+05:30,1315.25,1316.05,1315.05,1316.0,1316.0,22087.0
2023-05-29 10:18:00+05:30,1316.0,1316.65,1315.2,1315.85,1315.85,17573.0
2023-05-29 10:19:00+05:30,1315.55,1316.45,1315.5,1316.0,1316.0,11792.0
2023-05-29 10:20:00+05:30,1316.15,1316.75,1315.7,1315.8,1315.8,6814.0
2023-05-29 10:21:00+05:30,1316.0,1316.2,1315.5,1315.5,1315.5,7249.0
2023-05-29 10:22:00+05:30,1315.7,1315.85,1315.0,1315.4,1315.4,12686.0
2023-05-29 10:23:00+05:30,1315.2,1315.5,1315.0,1315.1,1315.1,7092.0
2023-05-29 10:24:00+05:30,1315.05,1316.45,1315.0,1315.75,1315.75,9835.0
2023-05-29 10:25:00+05:30,1315.8,1316.75,1315.25,1316.55,1316.55,13294.0
2023-05-29 10:26:00+05:30,1316.65,1316.65,1314.1,1314.5,1314.5,32203.0
2023-05-29 10:27:00+05:30,1314.0,1315.0,1314.0,1314.7,1314.7,11762.0
2023-05-29 10:28:00+05:30,1314.55,1314.95,1314.0,1314.5,1314.5,16337.0
2023-05-29 10:29:00+05:30,1314.1,1314.95,1314.0,1314.05,1314.05,14899.0
2023-05-29 10:30:00+05:30,1314.05,1314.3,1313.3,1314.0,1314.0,14168.0
2023-05-29 10:31:00+05:30,1313.85,1314.0,1313.4,1313.65,1313.65,8955.0
2023-05-29 10:32:00+05:30,1313.6,1314.5,1313.55,1314.1,1314.1,6634.0
2023-05-29 10:33:00+05:30,1314.05,1315.0,1314.0,1315.0,1315.0,13169.0
2023-05-29 10:34:00+05:30,1315.0,1315.0,1314.5,1315.0,1315.0,8489.0
2023-05-29 10:35:00+05:30,1315.0,1315.0,1314.0,1314.0,1314.0,22635.0
2023-05-29 10:36:00+05:30,1314.0,1314.4,1312.7,1312.8,1312.8,21856.0
2023-05-29 10:37:00+05:30,1312.6,1313.25,1312.15,1312.95,1312.95,21226.0
2023-05-29 10:38:00+05:30,1312.95,1313.65,1312.55,1312.8,1312.8,13314.0
2023-05-29 10:39:00+05:30,1312.9,1314.3,1312.85,1313.55,1313.55,10126.0
2023-05-29 10:40:00+05:30,1314.1,1314.55,1313.5,1314.0,1314.0,8522.0
2023-05-29 10:41:00+05:30,1313.9,1314.5,1313.75,1314.4,1314.4,6015.0
2023-05-29 10:42:00+05:30,1314.5,1315.0,1314.0,1314.65,1314.65,12981.0
2023-05-29 10:43:00+05:30,1314.5,1314.7,1313.5,1313.6,1313.6,24997.0
2023-05-29 10:44:00+05:30,1313.65,1314.5,1313.5,1314.15,1314.15,7177.0
2023-05-29 10:45:00+05:30,1314.5,1314.95,1314.1,1314.25,1314.25,6878.0
2023-05-29 10:46:00+05:30,1314.5,1314.8,1314.1,1314.55,1314.55,4376.0
2023-05-29 10:47:00+05:30,1314.25,1314.85,1314.25,1314.7,1314.7,2879.0
2023-05-29 10:48:00+05:30,1314.7,1314.85,1314.3,1314.35,1314.35,4948.0
2023-05-29 10:49:00+05:30,1314.55,1314.9,1314.3,1314.8,1314.8,3596.0
