Datetime,Open,High,Low,Close,Adj Close,Volume
2023-04-27 09:15:00+05:30,970.0,970.0,966.5,969.0,969.0,0
2023-04-27 09:20:00+05:30,969.3,970.45,969.05,969.75,969.75,14206
2023-04-27 09:25:00+05:30,969.6,970.5,969.25,970.15,970.15,10156
2023-04-27 09:30:00+05:30,970.1,972.0,969.15,972.0,972.0,8599
2023-04-27 09:35:00+05:30,972.0,972.7,969.65,971.0,971.0,69594
2023-04-27 09:40:00+05:30,971.0,971.0,970.3,970.6,970.6,10180
2023-04-27 09:45:00+05:30,970.8,970.8,967.3,967.75,967.75,17199
2023-04-27 09:50:00+05:30,967.75,967.8,965.65,966.5,966.5,29719
2023-04-27 09:55:00+05:30,966.5,967.55,966.15,967.25,967.25,39858
2023-04-27 10:00:00+05:30,967.0,967.3,965.65,965.95,965.95,23762
2023-04-27 10:05:00+05:30,965.95,966.0,964.55,965.5,965.5,61727
2023-04-27 10:10:00+05:30,965.15,965.5,964.3,965.0,965.0,22326
2023-04-27 10:15:00+05:30,965.0,965.05,964.4,965.0,965.0,14600
2023-04-27 10:20:00+05:30,965.0,965.2,963.55,965.0,965.0,20867
2023-04-27 10:25:00+05:30,964.95,965.25,964.0,964.25,964.25,18385
2023-04-27 10:30:00+05:30,964.3,964.9,964.2,964.6,964.6,11653
2023-04-27 10:35:00+05:30,964.9,965.05,964.55,965.0,965.0,9267
2023-04-27 10:40:00+05:30,965.0,966.45,964.65,966.45,966.45,68415
2023-04-27 10:45:00+05:30,966.45,967.45,966.0,967.4,967.4,6075
2023-04-27 10:50:00+05:30,967.45,967.9,965.8,966.0,966.0,20619
2023-04-27 10:55:00+05:30,966.0,966.3,965.65,965.9,965.9,11754
2023-04-27 11:00:00+05:30,965.95,966.25,965.65,966.25,966.25,7241
2023-04-27 11:05:00+05:30,966.15,966.5,965.75,966.0,966.0,23227
2023-04-27 11:10:00+05:30,965.8,966.0,965.55,965.9,965.9,49749
2023-04-27 11:15:00+05:30,965.5,965.5,965.0,965.35,965.35,14606
2023-04-27 11:20:00+05:30,965.35,965.4,964.75,965.1,965.1,78375
2023-04-27 11:25:00+05:30,965.05,965.5,964.15,964.35,964.35,139312
2023-04-27 11:30:00+05:30,964.4,964.5,963.85,964.5,964.5,96265
2023-04-27 11:35:00+05:30,964.5,966.1,964.4,966.0,966.0,93329
2023-04-27 11:40:00+05:30,966.0,966.0,964.0,965.95,965.95,154626
2023-04-27 11:45:00+05:30,965.7,966.3,965.7,966.0,966.0,41877
2023-04-27 11:50:00+05:30,966.0,966.15,965.7,966.0,966.0,33773
2023-04-27 11:55:00+05:30,966.0,966.0,965.6,966.0,966.0,21444
2023-04-27 12:00:00+05:30,966.0,966.1,965.7,966.0,966.0,34677
2023-04-27 12:05:00+05:30,965.75,966.1,965.15,965.65,965.65,27323
2023-04-27 12:10:00+05:30,965.65,966.15,965.65,966.0,966.0,21053
2023-04-27 12:15:00+05:30,966.0,966.15,965.5,965.95,965.95,32682
2023-04-27 12:20:00+05:30,965.95,966.05,965.1,965.5,965.5,23228
2023-04-27 12:25:00+05:30,965.5,965.6,965.0,965.55,965.55,22373
2023-04-27 12:30:00+05:30,965.55,965.85,965.2,965.7,965.7,13527
2023-04-27 12:35:00+05:30,965.7,965.7,964.0,964.65,964.65,163771
2023-04-27 12:40:00+05:30,964.65,965.45,964.55,965.4,965.4,49667
2023-04-27 12:45:00+05:30,965.4,965.5,964.35,965.0,965.0,44140
2023-04-27 12:50:00+05:30,965.0,965.0,964.95,965.0,965.0,16999
2023-04-27 12:55:00+05:30,965.0,965.0,964.6,965.0,965.0,16859
2023-04-27 13:00:00+05:30,965.0,965.0,964.75,964.8,964.8,17963
2023-04-27 13:05:00+05:30,964.95,965.45,964.5,965.0,965.0,31371
2023-04-27 13:10:00+05:30,965.1,965.25,964.6,965.0,965.0,65667
2023-04-27 13:15:00+05:30,965.0,965.4,964.9,964.9,964.9,53295
2023-04-27 13:20:00+05:30,964.95,965.45,964.85,964.9,964.9,88866
2023-04-27 13:25:00+05:30,964.9,966.65,964.85,966.2,966.2,24770
2023-04-27 13:30:00+05:30,966.55,968.0,966.55,967.85,967.85,13223
2023-04-27 13:35:00+05:30,967.85,969.45,967.5,969.45,969.45,23307
2023-04-27 13:40:00+05:30,969.45,970.45,969.15,970.1,970.1,33805
